user_id,user_name,email,country,ip_address,timestamp,device_type,session_duration_minutes,page_interactions,request_type,marketing_channel,conversion_rate,product,user_type,request_frequency,previous_visits,conversion_history,purchase_amount_usd,sales_person,returning_customer,sales_target_usd,performance_vs_target,sales_funnel_stage,customer_value_segment,marketing_conversion_target,conversion_vs_target,engagement_score,channel_efficiency,month,role,sales_target,conversion_target,sales_gap,sales_status,conversion_gap,marketing_status
bdd640fb-0667-4ad1-9c80-317fa3b1799d,stewartgeorge,parkspatrick@example.com,Mauritania,205.89.98.8,2025-05-06 11:35:37.694627,Mobile,4.69,18,PUT,Email,0.79,Analytics Dashboard,Returning,1,1,0,87.63,Sales officer,1,300,-212.37,Awareness,Low,0.5,0.29,24.88,3.71,2025-05,Sales,500,0.5,412.37,Below Target,-0.29000000000000004,Achieved
23b8c1e9-3924-46de-beb1-3b9046685257,cheryl80,taylorluis@example.net,British Virgin Islands,167.86.48.232,2025-04-08 20:19:38.194505,Mobile,30.1,10,DELETE,Paid Ads,0.4,Prototyping Tool,Returning,4,6,3,38.86,Sales officer,0,300,-261.14,Decision,Low,0.6,-0.1999999999999999,24.04,12.04,2025-04,Sales,500,0.5,461.14,Below Target,0.09999999999999998,Below Target
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,deborah97,byrdsherry@example.net,Ecuador,49.230.33.242,2025-05-07 02:37:02.432080,Desktop,13.17,11,DELETE,Organic Search,0.98,Analytics Dashboard,New,6,9,0,893.99,Marketing officer,0,500,393.99,Awareness,High,0.4,0.58,29.27,12.91,2025-05,Marketing,300,0.7,-593.99,Achieved,-0.28,Achieved
972a8469-1641-4f82-8b9d-2434e465e150,hlogan,hfarmer@example.org,Cook Islands,197.105.188.72,2025-05-03 04:45:57.298039,Desktop,9.13,17,GET,Organic Search,0.35,Cloud IDE,Returning,7,4,2,859.82,Manager,0,300,559.82,Consideration,High,0.4,-0.05,17.45,3.2,2025-05,Manager,1000,0.6,140.17999999999995,Below Target,0.25,Below Target
17fc695a-07a0-4a6e-8822-e8f36c031199,pfowler,wilkersonadam@example.org,Zimbabwe,203.222.197.82,2025-04-09 14:46:02.835447,Tablet,1.7,16,PUT,Email,0.37,Prototyping Tool,New,6,14,4,318.94,Sales officer,0,500,-181.06,Decision,Medium,0.5,-0.13,14.48,0.63,2025-04,Sales,500,0.5,181.06,Below Target,0.13,Below Target
9a1de644-815e-46d1-bb8f-aa1837f8a88b,gonzalezbrittany,caitlin23@example.net,Bahamas,193.75.133.68,2025-05-01 09:28:17.657671,Mobile,1.7,13,GET,Referral,0.61,AI Assistant,New,4,0,1,462.38,Manager,0,500,-37.620000000000005,Consideration,Medium,0.7,-0.0899999999999999,18.08,1.04,2025-05,Manager,1000,0.6,537.62,Below Target,-0.010000000000000009,Achieved
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,cervantespatrick,xjohnson@example.com,New Caledonia,171.5.207.232,2025-05-04 00:35:15.152628,Tablet,0.6,2,POST,Social Media,0.27,AI Assistant,New,7,1,2,498.67,Sales officer,0,500,-1.329999999999984,Consideration,Medium,0.55,-0.28,6.44,0.16,2025-05,Sales,500,0.5,1.329999999999984,Below Target,0.22999999999999998,Below Target
6b65a6a4-8b81-48f6-b38a-088ca65ed389,curtis61,romeromatthew@example.net,French Polynesia,183.143.121.77,2025-05-06 08:18:27.420915,Tablet,20.11,2,PUT,Email,0.7,AI Assistant,Returning,2,2,4,525.49,Marketing officer,1,300,225.49,Decision,High,0.5,0.1999999999999999,22.84,14.08,2025-05,Marketing,300,0.7,-225.49,Achieved,0.0,Achieved
47378190-96da-4dac-b2ff-5d2a386ecbe0,javiermitchell,jose43@example.com,Dominican Republic,172.176.141.170,2025-05-02 01:39:01.111168,Tablet,9.19,14,POST,Paid Ads,0.15,Prototyping Tool,New,6,5,2,143.23,Manager,1,500,-356.77,Consideration,Medium,0.6,-0.4499999999999999,12.28,1.38,2025-05,Manager,1000,0.6,856.77,Below Target,0.44999999999999996,Below Target
c241330b-01a9-471f-9e8a-774bcf36d58b,washingtonashley,kimberlypittman@example.org,Somalia,42.85.66.72,2025-04-22 18:14:39.834845,Desktop,12.31,4,POST,Paid Ads,0.11,Cloud IDE,New,5,13,4,777.31,Manager,1,500,277.30999999999995,Decision,High,0.6,-0.49,8.72,1.35,2025-04,Manager,1000,0.6,222.69000000000005,Below Target,0.49,Below Target
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,jesusthompson,ttrevino@example.net,Wallis and Futuna,213.117.236.2,2025-04-11 11:18:07.417292,Desktop,0.21,17,POST,Paid Ads,0.53,Analytics Dashboard,New,2,0,2,354.34,Manager,0,500,-145.66000000000005,Consideration,Medium,0.6,-0.0699999999999999,17.48,0.11,2025-04,Manager,1000,0.6,645.6600000000001,Below Target,0.06999999999999995,Below Target
371ecd7b-27cd-4130-8722-9389571aa876,samuel38,achaney@example.org,Malta,2.8.47.56,2025-04-10 15:36:15.380819,Tablet,35.04,13,GET,Paid Ads,0.56,Cloud IDE,New,9,14,1,41.38,Marketing officer,0,500,-458.62,Consideration,Low,0.6,-0.0399999999999999,30.42,19.62,2025-04,Marketing,300,0.7,258.62,Below Target,0.1399999999999999,Below Target
1a2a73ed-562b-4f79-8374-59eef50bea63,brandi19,kimberlyjones@example.net,Azerbaijan,45.113.86.175,2025-04-24 09:43:15.803274,Desktop,17.86,4,DELETE,Social Media,0.11,Cloud IDE,Returning,7,7,3,679.8,Manager,0,300,379.8,Decision,High,0.55,-0.44,10.94,1.96,2025-04,Manager,1000,0.6,320.20000000000005,Below Target,0.49,Below Target
